slug,name,url,license_url,download_url,data_access_type,description,notes,public,who_partner_status,physical_address,email,number_of_trials,coverage,record_schema_url
nct,ClinicalTrials.gov,http://clinicaltrials.gov/,https://clinicaltrials.gov/ct2/about-site/terms-conditions,https://www.ctti-clinicaltrials.org/what-we-do/analysis-dissemination/state-clinical-trials/aact-database,scrape,"ClinicalTrials.gov is a Web-based resource that provides patients, their family members, health care professionals, researchers, and the public with easy access to information on publicly and privately supported clinical studies on a wide range of diseases and conditions.  Updated daily.",Download guidelines: https://clinicaltrials.gov/ct2/resources/download,true,,,"cravedik@nlm.nih.gov, modlinm@nlm.nih.gov",199725,all,https://clinicaltrials.gov/ct2/html/images/info/public.xsd
euctr,EU Clinical Trials Register (EU-CTR),https://www.clinicaltrialsregister.eu/,,,scrape,,,true,primary,"30 Churchill Place, Canary Wharf, London E14 5EU",euctr@ema.europa.eu,26680,,
jprn,Japan Primary Registries Network (JPRN),http://rctportal.niph.go.jp/,,,null,,Nascent scraper here: https://github.com/nick111/MedicalDataCrawl,true,primary,"2-3-6 Minami, Wako-shi, Saitama 351-0197, Japan",rctportal@niph.go.jp,21297,all,
isrctn,ISRCTN.org,http://www.isrctn.com/,http://www.isrctn.com/page/terms,,scrape,The ISRCTN maintains the clinical trial database controlled-trials.com,Nascent scraper here: https://morph.io/annapowellsmith/isrctn,true,primary,"ISRCTN registry, c/o BioMed Central, Floor 6, 236 Gray's Inn Road, London WC1X 8HL, United Kingdom",info@isrctn.com,11794,all,
actrn,Australian New Zealand Clinical Trials Registry (ANZCTR),http://www.anzctr.org.au/,,https://classic.scraperwiki.com/scrapers/australia_new_zealand_clinical_trials/,scrape,,Number of trials here: http://www.anzctr.org.au/Support/Statistics.aspx,true,primary,"NHMRC Clinical Trials Centre, Locked Bag 77, Camperdown NSW 2050, Australia",info@actr.org.au,10759,all,http://www.anzctr.org.au/docs/ANZCTR%20Data%20field%20explanation.pdf
irct,Iranian Registry of Clinical Trials (IRCT),http://www.irct.ir/,,,null,,,true,primary,"NO.211 , opposite Avesta park , Azadi St., Tehran , 14199-43471, Iran (Islamic Republic of),",irct@hbi.ir,9074,all,
gsk,GlaxoSmithKline,http://www.gsk-clinicalstudyregister.com/,,,null,,+1 877-379-3718,false,,"UK - GSK House, GSK UK - GSK House Contact UK - GSK House, 980 Great West Road Brentford Middlesex TW8 9GS United Kingdom, Tel: pref +44 (0)20 8047 5000",,7010,,
ntr,The Netherlands National Trial Register (NTR),http://www.trialregister.nl/trialreg/index.asp,,,null,,,true,primary,"Dutch Cochrane Centre, J1B-108, Academisch Medisch Centrum, Postbus 22660, 1100 DD Amsterdam, The Netherlands",nederlands@trialregister.nl,5208,Netherlands,
umcfctr,Clinical Trial Registry of the University Medical Center Freiburg,http://zksinternet.ukl.uni-freiburg.de/ukfreg/,,,null,,,true,partner,"ZKS - Center of Clinical Trials, Clinical Trial Registry of the University Medical Center Freiburg, Elsaesser Strasse 2, D-79110 Freiburg, Germany",,4017,Germany,
rebec,Brazilian Clinical Trials Registry (ReBec),http://www.ensaiosclinicos.gov.br/,,https://github.com/bireme/opentrials/tree/master/data,download,The Brazilian Clinical Trials Registry / Registro Brasileiro de Ensaios Clínicos (ReBEC) is an open access virtual platform for registration of ongoing experimental and non-experimental studies on humans performed in Brazil.,Only 665 out of 2945 trials are out of draft. ,true,primary,"Av. Brasil, 4.365 - Pavilḥo Haity Moussatch̩, sala 214 Manguinhos, Rio de Janeiro, CEP: 21.040-900, Tel.: (55xx21) 3865-3258 Fax: (55xx21) 2270-2668",,2993,all,
